timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650009671221,671,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-5,,false,,1002,964,1,7,null,667,3,97
1650009671647,251,Item4-184,200,OK,AddToCart 4-2,text,true,,5626,517,5,6,https://www.demoblaze.com/prod.html?idp_=9,250,0,0
1650009671700,252,Item4-184,200,OK,AddToCart 4-1,text,true,,5414,517,5,6,https://www.demoblaze.com/prod.html?idp_=9,250,0,0
1650009671700,254,Item3-149,200,OK,AddToCart 4-3,text,true,,5481,517,5,6,https://www.demoblaze.com/prod.html?idp_=8,250,0,0
1650009671570,397,Login-39,200,OK,AddToCart 4-5,text,true,,471,485,5,6,https://api.demoblaze.com/login,396,0,0
1650009671226,740,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-5,,true,,920,962,5,6,null,739,1,83
1650009671577,393,login-ken12,200,OK,Login 2-5,text,true,,531,485,1,6,https://api.demoblaze.com/login,392,0,0
1650009671893,251,Item2-121,200,OK,AddToCart 4-4,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,251,0,0
1650009671899,252,Item4-190,200,OK,AddToCart 4-2,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,252,0,0
1650009671953,251,Item4-190,200,OK,AddToCart 4-1,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,251,0,0
1650009671955,250,Item3-156,200,OK,AddToCart 4-3,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,250,0,0
1650009671967,252,Item1-80,200,OK,AddToCart 4-5,text,true,,449,476,5,5,https://api.demoblaze.com/view,252,0,0
1650009672152,291,Item4-191,200,OK,AddToCart 4-2,text,true,,307,553,5,5,https://api.demoblaze.com/addtocart,291,0,0
1650009672145,300,Item2-122,200,OK,AddToCart 4-4,text,true,,307,553,5,5,https://api.demoblaze.com/addtocart,300,0,0
1650009672220,261,Item1-84,200,OK,AddToCart 4-5,text,true,,449,481,5,5,https://api.demoblaze.com/addtocart,261,0,0
1650009672205,291,Item4-191,200,OK,AddToCart 4-1,text,true,,307,553,5,5,https://api.demoblaze.com/addtocart,291,0,0
1650009672205,297,Item3-157,200,OK,AddToCart 4-3,text,true,,307,553,5,5,https://api.demoblaze.com/addtocart,297,0,0
1650009672443,60,Item4-192,200,OK,AddToCart 4-2,text,true,,19902,517,5,5,https://www.demoblaze.com/index.html,45,0,0
1650009671646,854,Item4,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-2,,true,,26284,2068,5,5,null,838,4,0
1650009672444,61,Item2-123,200,OK,AddToCart 4-4,text,true,,19902,517,5,5,https://www.demoblaze.com/index.html,45,0,0
